Hujan ADC;Hujan %;Status Hujan;Soil ADC;Soil %;Status Soil%;accel_magnitude;gyro_magnitude;pitch;roll;status mpu;Label
4095;0.0;Terang;3281;19.0;Kering;1.007;3.59;3.56;-6.84;STABIL;Aman
4095;0.0;Terang;3280;19.0;Kering;1.003;3.48;3.73;-6.90;STABIL;Aman
4095;0.0;Terang;3269;20.0;Kering;1.009;3.62;3.43;-6.93;STABIL;Aman
4095;0.0;Terang;3261;20.0;Kering;1.007;3.44;3.46;-6.71;STABIL;Aman
4095;0.0;Terang;3254;20.0;Kering;1.004;3.77;3.50;-6.64;STABIL;Aman
4095;0.0;Terang;3251;20.0;Kering;1.005;3.32;3.62;-6.77;STABIL;Aman
4094;0.0;Terang;3265;20.0;Kering;1.005;3.52;3.40;-6.67;STABIL;Aman
4095;0.0;Terang;3286;19.0;Kering;1.009;3.45;3.25;-7.03;STABIL;Aman
4095;0.0;Terang;3278;19.0;Kering;1.003;3.51;3.56;-6.78;STABIL;Aman
4095;0.0;Terang;3265;20.0;Kering;1.006;3.48;3.49;-6.70;STABIL;Aman
4095;0.0;Terang;3280;19.0;Kering;1.004;3.67;3.63;-6.89;STABIL;Aman
4095;0.0;Terang;3277;19.0;Kering;1.010;3.34;3.41;-6.83;STABIL;Aman
4095;0.0;Terang;3260;20.0;Kering;1.012;3.62;3.57;-6.83;STABIL;Aman
4095;0.0;Terang;3281;19.0;Kering;998;3.52;3.43;-6.81;STABIL;Aman
3621;11.0;Terang;3262;20.0;Kering;1.004;3.49;3.29;-6.81;STABIL;Aman
3283;19.0;Terang;3291;19.0;Kering;1.004;3.70;3.51;-6.69;STABIL;Aman
3143;23.0;Terang;3263;20.0;Kering;1.003;3.67;3.89;-6.60;STABIL;Aman
3410;16.0;Terang;3275;20.0;Kering;1.007;3.54;3.27;-6.78;STABIL;Aman
3119;23.0;Terang;3234;21.0;Kering;1.010;3.40;3.55;-6.65;STABIL;Aman
4095;0.0;Terang;3259;20.0;Kering;1.006;3.43;3.50;-6.67;STABIL;Aman
3680;10.0;Terang;3257;20.0;Kering;1.008;3.54;3.51;-6.83;STABIL;Aman
3495;14.0;Terang;3275;20.0;Kering;1.000;3.28;3.50;-6.85;STABIL;Aman
3410;16.0;Terang;3271;20.0;Kering;1.003;3.21;3.73;-6.78;STABIL;Aman
3390;17.0;Terang;3279;19.0;Kering;1.011;3.99;2.64;-6.22;STABIL;Aman
3322;18.0;Terang;3262;20.0;Kering;1.007;3.39;2.82;0.32;STABIL;Aman
3271;20.0;Terang;3236;20.0;Kering;1.004;3.50;2.66;0.10;STABIL;Aman
3211;21.0;Terang;3269;20.0;Kering;1.006;3.44;2.73;0.11;STABIL;Aman
3191;22.0;Terang;3269;20.0;Kering;1.004;3.49;2.66;0.22;STABIL;Aman
3166;22.0;Terang;3283;19.0;Kering;1.005;3.59;2.63;0.60;STABIL;Aman
3134;23.0;Terang;3251;20.0;Kering;1.004;3.58;2.58;0.25;STABIL;Aman
3115;23.0;Terang;3267;20.0;Kering;986;189.11;0.87;-10.72;GETARAN_KUAT;Waspada
3105;24.0;Terang;3264;20.0;Kering;2.002;150.73;19.22;-3.22;GETARAN_KUAT;Waspada
3069;25.0;Terang;3269;20.0;Kering;863;155.60;2.98;8.70;GETARAN_KUAT;Waspada
3033;25.0;Terang;3251;20.0;Kering;967;152.74;12.07;02.01;GETARAN_KUAT;Waspada
3024;26.0;Terang;3262;20.0;Kering;936;156.10;-3.92;-1.69;GETARAN_KUAT;Waspada
3011;26.0;Terang;3285;19.0;Kering;1.038;159.12;-37.54;-18.02;GETARAN_KUAT;Waspada
2967;27.0;Terang;3281;19.0;Kering;1.684;348.21;-45.33;-19.58;GETARAN_KUAT;Waspada
2965;27.0;Terang;3280;19.0;Kering;481;324.84;9.55;-76.46;GETARAN_KUAT;Waspada
2963;27.0;Terang;3262;20.0;Kering;1.289;432.83;35.57;10.52;GETARAN_KUAT;Waspada
2965;27.0;Terang;3251;20.0;Kering;1.234;304.40;-51.46;9.27;GETARAN_KUAT;Waspada
2970;27.0;Terang;3257;20.0;Kering;1.998;309.42;-63.49;87.57;GETARAN_KUAT;Waspada
2958;27.0;Terang;3257;20.0;Kering;1.802;332.53;17.76;29.64;GETARAN_KUAT;Waspada
4095;0.0;Terang;3248;20.0;Kering;2.219;282.76;35.93;19.98;GETARAN_KUAT;Waspada
4095;0.0;Terang;3251;20.0;Kering;2.903;268.02;-42.56;-60.02;GETARAN_KUAT;Waspada
4095;0.0;Terang;3277;19.0;Kering;1.064;283.32;44.77;53.98;GETARAN_KUAT;Waspada
4085;0.0;Terang;3267;20.0;Kering;3.839;381.50;-57.86;-14.68;GETARAN_KUAT;Bahaya
3970;3.0;Terang;3271;20.0;Kering;2.055;314.36;21.11;26.41;GETARAN_KUAT;Bahaya
3902;4.0;Terang;3262;20.0;Kering;1.659;363.38;-65.54;41.74;GETARAN_KUAT;Bahaya
3850;5.0;Terang;3267;20.0;Kering;1.237;276.83;-23.13;47.44;GETARAN_KUAT;Bahaya
3818;6.0;Terang;3277;19.0;Kering;1.498;387.34;-35.03;21.70;GETARAN_KUAT;Bahaya
3794;7.0;Terang;3271;20.0;Kering;1.886;175.54;26.10;59.15;GETARAN_KUAT;Bahaya
3735;8.0;Terang;3233;21.0;Kering;1.294;254.61;-22.74;23.39;GETARAN_KUAT;Bahaya
3710;9.0;Terang;3262;20.0;Kering;2.682;189.87;26.79;56.53;GETARAN_KUAT;Bahaya
3696;9.0;Terang;3255;20.0;Kering;1.191;153.90;-17.46;-60.51;GETARAN_KUAT;Bahaya
3685;10.0;Terang;3315;19.0;Kering;2.155;363.22;-27.76;46.85;GETARAN_KUAT;Bahaya
3684;10.0;Terang;3327;18.0;Kering;2.200;401.67;-33.17;45.11;GETARAN_KUAT;Bahaya
3693;9.0;Terang;3323;18.0;Kering;1.235;223.45;-15.31;-50.17;GETARAN_KUAT;Bahaya
3698;9.0;Terang;3337;18.0;Kering;3.288;177.63;-11.68;66.43;GETARAN_KUAT;Bahaya
3706;9.0;Terang;3330;18.0;Kering;1.472;412.19;48.61;-4.01;GETARAN_KUAT;Bahaya
3715;9.0;Terang;3338;18.0;Kering;794;397.58;54.21;87.65;GETARAN_KUAT;Bahaya
3713;9.0;Terang;1246;69.0;Basah;1.008;3.61;2.75;0.14;STABIL;Waspada
3726;9.0;Terang;1185;71.0;Basah;1.006;3.72;2.88;0.35;STABIL;Waspada
3726;9.0;Terang;1181;71.0;Basah;1.011;3.41;2.71;0.33;STABIL;Waspada
3731;8.0;Terang;1179;71.0;Basah;1.008;3.72;2.72;0.35;STABIL;Waspada
3736;8.0;Terang;1180;71.0;Basah;1.006;3.59;2.92;0.57;STABIL;Waspada
3739;8.0;Terang;1185;71.0;Basah;1.000;3.73;2.76;0.38;STABIL;Waspada
3750;8.0;Terang;1181;71.0;Basah;1.004;3.39;2.86;0.27;STABIL;Waspada
3758;8.0;Terang;1162;71.0;Basah;998;3.71;2.82;0.21;STABIL;Waspada
3762;8.0;Terang;1177;71.0;Basah;998;3.37;2.61;0.34;STABIL;Waspada
3762;8.0;Terang;1178;71.0;Basah;1.000;3.51;2.67;0.18;STABIL;Waspada
4095;0.0;Terang;1179;71.0;Basah;998;3.65;2.78;0.13;STABIL;Waspada
3958;3.0;Terang;1171;71.0;Basah;1.005;3.50;-0.50;-1.18;STABIL;Waspada
3872;5.0;Terang;1174;71.0;Basah;1.010;3.54;-0.32;-1.09;STABIL;Waspada
3813;6.0;Terang;1169;71.0;Basah;1.005;3.42;-0.52;-1.50;STABIL;Waspada
3759;8.0;Terang;1177;71.0;Basah;1.005;3.49;-0.64;-1.39;STABIL;Waspada
3727;8.0;Terang;1174;71.0;Basah;1.003;3.62;-0.61;-1.67;STABIL;Waspada
3710;9.0;Terang;1173;71.0;Basah;995;3.68;-0.66;-1.41;STABIL;Waspada
3695;9.0;Terang;1174;71.0;Basah;999;3.54;-0.70;-1.40;STABIL;Waspada
3666;10.0;Terang;1153;71.0;Basah;1.004;3.51;-0.36;-1.74;STABIL;Waspada
3655;10.0;Terang;1141;72.0;Basah;1.002;3.65;-0.29;-1.42;STABIL;Waspada
3648;10.0;Terang;1136;72.0;Basah;1.006;3.48;-0.38;-1.36;STABIL;Waspada
3633;11.0;Terang;1136;72.0;Basah;1.002;3.56;-0.39;-1.30;STABIL;Waspada
3606;11.0;Terang;1151;71.0;Basah;1.002;3.43;-0.49;-1.51;STABIL;Waspada
3610;11.0;Terang;1186;71.0;Basah;1.002;3.52;-0.52;-1.28;STABIL;Waspada
3575;12.0;Terang;1173;71.0;Basah;1.005;3.46;-0.47;-1.60;STABIL;Waspada
3578;12.0;Terang;1168;71.0;Basah;1.001;3.57;-0.48;-1.30;STABIL;Waspada
3569;12.0;Terang;1134;72.0;Basah;1.011;3.62;-0.47;-1.41;STABIL;Waspada
3561;13.0;Terang;1131;72.0;Basah;1.000;3.73;-0.36;-1.57;STABIL;Waspada
3555;13.0;Terang;1137;72.0;Basah;1.009;3.51;-0.39;-2.22;STABIL;Waspada
3553;13.0;Terang;1136;72.0;Basah;1.000;3.65;0.46;-3.16;STABIL;Waspada
3545;13.0;Terang;1159;71.0;Basah;2.559;343.52;-56.93;-34.40;GETARAN_KUAT;Bahaya
4095;0.0;Terang;1138;72.0;Basah;1.431;167.77;78.02;118.10;GETARAN_KUAT;Bahaya
4095;0.0;Terang;1136;72.0;Basah;606;236.01;33.68;-40.25;GETARAN_KUAT;Bahaya
4095;0.0;Terang;1138;72.0;Basah;2.071;208.58;77.56;-179.75;GETARAN_KUAT;Bahaya
4095;0.0;Terang;1140;72.0;Basah;1.038;301.04;39.33;-145.14;GETARAN_KUAT;Bahaya
4095;0.0;Terang;1136;72.0;Basah;673;378.29;46.83;-154.96;GETARAN_KUAT;Bahaya
4095;0.0;Terang;1136;72.0;Basah;1.533;524.54;-1.41;-12.40;GETARAN_KUAT;Bahaya
4095;0.0;Terang;1136;72.0;Basah;3.424;154.69;-1.77;-10.99;GETARAN_KUAT;Bahaya
4095;0.0;Terang;1136;72.0;Basah;1.100;322.27;19.72;179.81;GETARAN_KUAT;Bahaya
4095;0.0;Terang;1137;72.0;Basah;749;278.00;-30.12;-69.77;GETARAN_KUAT;Bahaya
4095;0.0;Terang;1134;72.0;Basah;2.263;419.70;-10.38;-16.50;GETARAN_KUAT;Bahaya
4095;0.0;Terang;1135;72.0;Basah;1.850;399.33;9.12;-12.16;GETARAN_KUAT;Bahaya
4095;0.0;Terang;1127;72.0;Basah;2.360;344.28;-2.67;1.49;GETARAN_KUAT;Bahaya
4095;0.0;Terang;1134;72.0;Basah;3.140;355.03;-76.00;-31.28;GETARAN_KUAT;Bahaya
4095;0.0;Terang;1136;72.0;Basah;483;463.77;42.41;10.53;GETARAN_KUAT;Bahaya
4095;0.0;Terang;1131;72.0;Basah;3.018;188.20;53.49;45.69;GETARAN_KUAT;Bahaya
